"Calendario[Mesaño]";"SISDAT[Categoria]";"SISDAT[Nivel Voltaje]";"SISDAT[Grupo de consumo]";"SISDAT[Tipo Consumo]";"SISDAT[Tipo Tarifa]";"SISDAT[TRA-130.Tarifa SISDAT]";"Clientes_BOL";"MWh_BOL";"FACT_BOL";"Clientes_EOR";"MWh_EOR";"FACT_EOR";"Clientes_ESM";"MWh_ESM";"FACT_ESM";"Clientes_GYE";"MWh_GYE";"FACT_GYE";"Clientes_GLR";"MWh_GLR";"FACT_GLR";"Clientes_LRS";"MWh_LRS";"FACT_LRS";"Clientes_MAN";"MWh_MAN";"FACT_MAN";"Clientes_MLG";"MWh_MLG";"FACT_MLG";"Clientes_STE";"MWh_STE";"FACT_STE";"Clientes_STDO";"MWh_STDO";"FACT_STDO";"Clientes_SUC";"MWh_SUC";"FACT_SUC"
"1/7/2025";"General";"Alta";"5 - Otros";"No Público";"Autoconsumo con Demanda Horaria - AV1";"ATCGCD12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"No Público";"Bombeo de Agua con Demanda Horaria - AV1";"ATCGCD04";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"9999,74449";"533955,2";"3";"13154,719";"797890,48";"0";"0";"0";"0";"0";"0";"7";"22689,673";"1412074,19";"1";"4813,2";"323140,56";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"No Público";"Escenarios Deportivos con Demanda Horaria - AV1";"ATCGCD11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"No Público";"Estación de Carga Rápida con Demanda Horaria Diferenciada - AV1";"ATCGCD16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"No Público";"Otros con Demanda Horaria - AV1";"ATCGCD05";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"No Público";"Servicio Comunitario con Demanda Horaria - AV1";"ATCGCD08";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"868,24";"54368,27";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Abonados Especiales con Demanda Horaria - AV1";"ATCGCD03";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Asistencia Social con Demanda Horaria - AV1";"ATCGCD14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"415,405";"27573,12";"0";"0";"0";"1";"863,388";"56726,54";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Autoconsumo con Demanda Horaria - AV1";"ATCGCD12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Beneficio Público con Demanda Horaria - AV1";"ATCGCD15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"372,13";"26555,28";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Bombeo de Agua con Demanda Horaria - AV1";"ATCGCD04";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"428,75";"21453,72";"1";"14,267";"25713,61";"0";"0";"0";"2";"4564,45288";"272077,65";"0";"0";"0";"1";"0";"5284,05";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Bombeo de Agua para Servicio Público de Agua con Demanda Horaria - AV1";"ATCGCD13";"0";"0";"0";"0";"0";"0";"1";"2808,74141";"134168,67";"1";"677,6";"38583,76";"1";"11899,523";"491926,24";"0";"0";"0";"4";"2681,81048";"110413,64";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Entidades Oficiales con Demanda Horaria - AV1";"ATCGCD10";"0";"0";"0";"2";"1706,732";"120837,36";"1";"558,82059";"41152,03";"6";"3384,95604";"209593,52";"2";"291,87708";"20599,29";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"398,4";"29130,81";"2";"985,89";"73593,26";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Escenarios Deportivos con Demanda Horaria - AV1";"ATCGCD11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Estación de Carga Rápida con Demanda Horaria Diferenciada - AV1";"ATCGCD16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Otros con Demanda Horaria - AV1";"ATCGCD05";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Alta";"5 - Otros";"Público";"Servicio Comunitario con Demanda Horaria - AV1";"ATCGCD08";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"2 -  Comercial";"No Público";"Comercial";"BTCGSD01";"3534";"937,55002";"95661,24";"17040";"7390,40846";"752807,74";"6538";"2801,11071";"284312,93";"65426";"30544,97601";"3096642,08";"17882";"9736,45285";"990273,13";"7031";"2951,16179";"302759,5";"16225";"8080,24621";"799584,1";"10514";"4235,04538";"430772,28";"5959";"2428,87494";"247152,39";"26095";"9269,58357";"942101,14";"11777";"4396,17301";"446394,06"
"1/7/2025";"General";"Baja";"2 -  Comercial";"No Público";"Comercial con Demanda";"BTCGCD01";"13";"34,007";"3575,51";"1";"0,44064";"67,46";"68";"170,70146";"19537,27";"4620";"16306,0602";"1799971,52";"1135";"4647,1018";"526192,56";"67";"196,98372";"22308,52";"115";"218,57526";"26215,21";"310";"871,1594";"100019,49";"39";"102,52124";"11368,37";"30";"152,63696";"18653,48";"95";"109,28487";"13179,92"
"1/7/2025";"General";"Baja";"2 -  Comercial";"No Público";"Comercial con Demanda Horaria";"BTCGCD31";"0";"0";"0";"1";"6,33318";"715,57";"0";"0";"0";"41";"356,741";"35648,47";"0";"0";"0";"0";"0";"0";"22";"207,24012";"22060,73";"2";"5,795";"557,93";"0";"0";"0";"0";"0";"0";"644";"2758,01543";"289863,04"
"1/7/2025";"General";"Baja";"2 -  Comercial";"Público";"Comercial";"BTCGSD01";"1";"0,004";"1,78";"16";"5,37847";"551,04";"194";"113,79797";"11569,94";"51";"44,4435";"4633,44";"17";"7,5379";"777,08";"20";"8,256";"833,74";"67";"57,916";"5908,15";"301";"68,358";"7132,97";"1";"0";"1,41";"55";"24,87972";"2541,6";"16";"5,869";"594,72"
"1/7/2025";"General";"Baja";"2 -  Comercial";"Público";"Comercial con Demanda";"BTCGCD01";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"24,689";"2995,92";"5";"48,453";"5343,97";"3";"14,90296";"1727,81";"0";"0";"0";"2";"15,816";"1655,29";"0";"0";"0";"0";"0";"0";"3";"7,947";"849,27"
"1/7/2025";"General";"Baja";"2 -  Comercial";"Público";"Comercial con Demanda Horaria";"BTCGCD31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"5,52534";"514,43"
"1/7/2025";"General";"Baja";"3 - Industrial";"No Público";"Industrial Artesanal";"BTCGSD02";"85";"16,81156";"1410,63";"776";"285,70358";"24187,03";"210";"50,3396";"4214,21";"759";"416,81822";"37046,62";"160";"80,22103";"6811,82";"183";"43,70168";"3655,6";"262";"144,54556";"12376,31";"23";"8,36372";"700,08";"78";"33,26928";"2818,23";"84";"31,72332";"2671,65";"205";"67,56522";"5633,61"
"1/7/2025";"General";"Baja";"3 - Industrial";"No Público";"Industrial con Demanda";"BTCGCD02";"4";"2,706";"451,41";"0";"0";"0";"5";"5,3237";"682,53";"476";"1337,01358";"145163,56";"13";"18,457";"2269,09";"4";"0,90308";"234,04";"45";"81,52503";"9438,65";"44";"25,89322";"3253,21";"0";"0";"0";"0";"0";"0";"10";"4,89924";"633,21"
"1/7/2025";"General";"Baja";"3 - Industrial";"No Público";"Industrial con Demanda Horaria";"BTCGCD30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3,631";"311,07";"1";"12,9744";"1114,46";"6";"18,04992";"2246,05";"24";"324,20816";"28685,46";"1";"5,809";"544,78";"0";"0";"0";"0";"0";"0";"167";"916,49835";"79074,41"
"1/7/2025";"General";"Baja";"3 - Industrial";"Público";"Industrial Artesanal";"BTCGSD02";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0,2448";"19,28";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"3 - Industrial";"Público";"Industrial con Demanda";"BTCGCD02";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"10,8";"1020,61";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"3 - Industrial";"Público";"Industrial con Demanda Horaria";"BTCGCD30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"7,54086";"1086,04"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Abonados Especiales con Demanda";"BTCGSD06";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Abonados Especiales con Demanda Horaria";"BTCGSD10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Asistencia Social";"BTCGSD03";"0";"0";"0";"22";"7,64388";"417,19";"39";"13,05576";"725,33";"344";"219,06694";"20387,29";"42";"14,085";"716,16";"24";"7,83204";"420,04";"186";"56,83664";"3041,69";"1";"0,47";"22,92";"12";"2,239";"117,06";"5";"2,317";"128,82";"54";"13,818";"763,58"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Asistencia Social con Demanda";"BTCGCD03";"0";"0";"0";"0";"0";"0";"0";"0";"0";"67";"178,94586";"13993";"3";"8,599";"797,65";"1";"21,20172";"1557,6";"2";"1,51038";"131,24";"1";"0,359";"40,47";"0";"0";"0";"0";"0";"0";"3";"2,07776";"188,43"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Asistencia Social con Demanda Horaria";"NDCGCD01";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"9,64818";"796,21"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Autoconsumo con Demana Horaria";"BTCGCD37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Autoconsumo con Demanda";"BTCGCD04";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Beneficio Público";"BTCGSD04";"0";"0";"0";"2";"0,72012";"40,09";"52";"13,11628";"699,1";"1";"2,186";"218,54";"14";"7,745";"442,45";"22";"10,654";"631,34";"26";"10,211";"553,54";"0";"0";"0";"16";"6,15774";"342,15";"59";"11,45004";"612,43";"59";"15,79314";"859,6"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Beneficio Público con Demanda";"BTCGCD05";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"7,62858";"530,28";"0";"0";"0";"0";"0";"0";"2";"1,18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0,162";"47,34"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Beneficio Público con Demanda Horaria";"BTCGCD20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"10,51008";"961,37"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Bombeo de Agua";"BTCGSD13";"13";"3,829";"325,99";"57";"31,38044";"2580,65";"69";"27,84602";"2267,17";"22";"8,82814";"726,84";"397";"233,38093";"19232,32";"96";"47,6617";"3859,34";"345";"156,14618";"12884,44";"63";"42,14512";"3437,84";"29";"17,16659";"1406,3";"133";"135,43998";"11119,17";"1";"2,602";"214,08"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Bombeo de Agua Comunidades Campesinas";"BTCGCD21";"0";"0";"0";"21";"35,40624";"1430,96";"14";"10,97422";"448,77";"2";"0,732";"30,68";"332";"200,0069";"8236,19";"41";"21,2533";"878,83";"937";"601,46618";"24714,54";"12";"6,00722";"248,06";"11";"23,198";"936,32";"39";"42,86252";"1741,79";"111";"81,0163";"3318,35"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Bombeo de Agua con Demanda";"BTCGCD06";"0";"0";"0";"0";"0";"0";"1";"0,3";"48,28";"37";"110,914";"10607,71";"91";"173,001";"17913,76";"3";"3,97092";"459,71";"27";"162,27654";"13131,64";"11";"43,41118";"3976,37";"1";"4,218";"336,28";"1";"6,96354";"557,26";"19";"12,06926";"1352,1"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Bombeo de Agua con Demanda Horaria";"BTCGCD34";"0";"0";"0";"1";"11,49438";"935,85";"0";"0";"0";"5";"15,691";"1462,09";"0";"0";"0";"9";"69,7741";"6537,73";"2";"28,7436";"2299,74";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"5,91702";"575,06"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Culto Religioso";"BTCGSD09";"313";"25,67904";"1491,01";"551";"93,26217";"5019,29";"458";"94,3957";"4971,88";"468";"212,85724";"18970,37";"931";"251,47557";"13444,1";"443";"113,0762";"6049,32";"378";"113,93118";"5982,23";"438";"94,778";"4925,93";"192";"39,79318";"1992,68";"742";"140,08338";"7490,61";"408";"55,6762";"2939,45"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Culto Religioso con Demanda";"BTCGCD32";"1";"0,921";"87,98";"0";"0";"0";"0";"0";"0";"61";"80,928";"8082,57";"3";"4,503";"528,2";"3";"3,41628";"333,03";"0";"0";"0";"15";"17,37938";"2138,57";"1";"0,196";"30,74";"1";"0,791";"100,83";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Escenarios Deportivos";"BTCGSD12";"10";"0,812";"81,09";"33";"7,11966";"656,6";"0";"0";"0";"4";"4,728";"456,4";"4";"1,447";"133,97";"13";"3,882";"358,4";"12";"1,90752";"181,14";"4";"2,801";"256,55";"7";"1,61005";"149,26";"18";"8,4878";"780";"9";"3,571";"329,47"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Escenarios Deportivos con Demanda";"BTCGCD08";"1";"1,807";"192,24";"0";"0";"0";"0";"0";"0";"9";"29,764";"3104,61";"0";"0";"0";"2";"0,6783";"116,77";"2";"5,18184";"565";"1";"0,102";"41,8";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Escenarios Deportivos con Demanda Horaria";"BTCGCD36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Ocasional";"BTCGCD12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Otros";"BTCGSD08";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Otros con Demanda";"BTCGCD09";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Otros con Demanda Horaria";"BTCGCD38";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Servicio Comunitario";"BTCGSD11";"0";"0";"0";"53";"22,9041";"2106,27";"50";"30,42746";"2768,91";"779";"217,9549";"19601,65";"932";"546,362";"50410,12";"1";"0,023";"3,3";"65";"41,24034";"3768,12";"3";"1,587";"146,19";"301";"443,94056";"40988";"137";"38,31388";"3564,02";"43";"5,427";"524,21"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Servicio Comunitario con Demanda";"BTCGCD11";"0";"0";"0";"0";"0";"0";"2";"2,173";"241,49";"299";"540,49462";"55016,75";"172";"1134,90554";"122058,16";"1";"6,375";"603,38";"22";"56,60196";"5714,46";"0";"0";"0";"6";"22,06566";"2512,24";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Servicio Comunitario con Demanda Horaria";"BTCGCD39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"169,583";"14147,73";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"44,5536";"3933,89"
"1/7/2025";"General";"Baja";"5 - Otros";"No Público";"Vehículos Eléctricos con Demanda Horaria";"BTCGCD41";"1";"1,337";"87,81";"1";"0,484";"60,75";"0";"0";"0";"88";"46,838";"4323,69";"78";"24,292";"3363,32";"1";"0,941";"68,26";"17";"3,015";"518,21";"1";"0,497";"46,98";"0";"0";"0";"2";"0,127";"44,15";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"Público";"Abonados Especiales con Demanda";"BTCGSD06";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0,009";"1,65";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"Público";"Abonados Especiales con Demanda Horaria";"BTCGSD10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1/7/2025";"General";"Baja";"5 - Otros";"Público";"Asistencia Social";"BTCGSD03";"78";"29,534";"1484,95";"163";"104,15132";"5799,89";"114";"65,82";"3666,78";"72";"61,882";"5903,26";"117";"128,41237";"7422,11";"71";"47,9466";"2674,56";"322";"202,76566";"11618,22";"59";"37,28662";"2035,7";"41";"31,28852";"1751,25";"127";"103,28738";"5821,19";"126";"49,881";"2830,89"
